Case Number,Date/Time Opened,Term,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2021-193530,16/11/2021 12:47,Term 4,Violence,Rural North,Namoi,Allegations Of Sexual Assault,,,"Executive staff member reports a student has made an allegation of a #### assault involving another student on school grounds. #### reporting has been followed. Police will be contacted. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2021-193660,16/11/2021 13:43,Term 4,Violence,Rural South and West,Wagga Wagga,Assault,,Threat / Intimidation / Offens. Conduct,"An Executive reports a student has assaulted ####  students and a staff member on school grounds. First aid was not required. Parents notified. Police have been called. Support is in place. Director, Educational Leadership to be informed.",1,On workplace grounds
S-2021-193848,16/11/2021 15:16,Term 4,Emergency Situation,Regional North,Central Coast,Utility Failure,,,A staff member reports a utility failure on school grounds. Students were evacuated to the safety point on school grounds. Emergency Services were called and they attended the school. A student suffered a medical episode and was conveyed to hospital. Parents were contacted and made their way to the hospital. The utility failure was assessed and rectified. Executive staff are aware. Director Educational Leadership will be advised.,1,On workplace grounds
S-2021-194080,16/11/2021 16:59,Term 4,Emergency Situation,Regional South,Lake Illawarra South,Utility Failure,,,"An Executive staff member reports a utility failure that occurred on school grounds. Asset Management was notified. The school is still operational. Director, Educational Leadership, is aware.",1,On workplace grounds
S-2021-194225,17/11/2021 9:34,Term 4,Emergency Situation,Regional North,Windsor,Utility Failure,,,"Employee reports a utility failure on school grounds. The school will remain operational. Director, Educational Leadership to be notified.",1,On workplace grounds
S-2021-194441,17/11/2021 11:13,Term 4,Welfare,Metropolitan South and West,Sutherland,Attempted Suicide,,,"Executive staff have reported a student attempted #### on school grounds. Nil injuries sustained. Parents contacted and collected student and will be taking them for medical treatment. School is managing the matter and Supports are in place. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2021-194633,17/11/2021 12:46,Term 4,Violence,Metropolitan South,Iron Cove,Assault,,Student Behaviour,"An Executive reports sustaining injuries after being assaulted by a student on school grounds. First aid was not required. Police were called and escorted the student from school grounds. Carer informed and attended. Support offered. Director, Educational Leadership to be informed.",1,On workplace grounds
S-2021-194727,17/11/2021 13:17,Term 4,Welfare,Metropolitan North,Ryde,Student Welfare Concerns,Absconding / Missing Student,,An executive employee reports students absconding from school grounds. Parents will be notified. Supports are in place. Police will be contacted.,1,On workplace grounds
S-2021-195098,17/11/2021 15:44,Term 4,Violence,Regional North,Blue Mountains,Allegations Of Sexual Assault,,,"An executive staff member reports allegations of #### assault on school grounds. #### Reporting conducted. Police contacted. Director, Educational Leadership is aware.",1,On workplace grounds
S-2021-195111,17/11/2021 15:49,Term 4,Violence,Rural South and West,Wagga Wagga,Assault,,,"An Executive reports a physical altercation between ####  students has occurred on school grounds. Police and Ambulance were called and a student was conveyed to hospital. Parents have been informed. Media unit will be notified. Supports offered. Director, Educational Leadership to be informed.",1,On workplace grounds
S-2021-195165,17/11/2021 16:08,Term 4,Violence,Metropolitan South and West,Cowpasture,Assault,,,"An Executive staff member reports a student physically assaulted another student on school grounds. Parents have been notified. First aid has been administered and ##### student has been conveyed to hospital for medical treatment. Supports are in place for ##### students. School is managing the matter. Director, Educational, Leadership is aware.",1,On workplace grounds
S-2021-195383,18/11/2021 9:27,Term 4,Welfare,Regional North,Lake Macquarie East,Student Welfare Concerns,Absconding / Missing Student,Threat / Intimidation / Offens. Conduct,"Executive staff reports a student absconded from school grounds after verbally abusing staff. Parent and police contacted. Student's whereabouts is currently unknown. School is managing the matter and supports are in place. Director, Educational Leadership is aware.",1,On workplace grounds
S-2021-195518,18/11/2021 10:20,Term 4,Violence,Regional North,Glenrock,Assault,,Staff Welfare Concerns,"An executive staff member reports well-being concerns for an employee and student after reports of ongoing assaults on school grounds. Parents notified. Police informed. #### are investigating. #### reporting followed. Support is in place for the student and staff impacted. Director, Educational Leadership is aware.",1,On workplace grounds
S-2021-195525,18/11/2021 10:25,Term 4,Welfare,Metropolitan South and West,Eastern Creek,Student Welfare Concerns,Absconding / Missing Student,,"An executive staff reported welfare concerns for a student who has absconded from school grounds. Student's whereabouts are currently unknown. Police were contacted. School is managing the matter. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2021-195627,18/11/2021 11:29,Term 4,Violence,Metropolitan South,Botany Bay,Assault,,Student Welfare Concerns,"An executive staff member reports injuries sustained by a student who was assaulted by other students on school grounds. ##### student has also absconded and his whereabouts are currently unknown. Parents are being informed. Police notified. Support is in place for all students involved. Director, Educational Leadership is aware.",1,On workplace grounds
S-2021-196147,18/11/2021 15:17,Term 4,Violence,Metropolitan South and West,Cowpasture,Assault,,Threat / Intimidation / Offens. Conduct,"Executive staff member reports of a student assaulting and threatening a staff member on school grounds. Police were contacted and have attended. Parent has been notified. Supports are being established. Director, Educational Leadership is aware.",1,On workplace grounds
S-2021-196154,18/11/2021 15:18,Term 4,Violence,Regional North,Tuggerah Lakes,Assault,,Threat / Intimidation / Offens. Conduct,"An executive staff member has reported a physical altercation between ####  students on school grounds. ##### student was collected by a family member. The second student refused to leave and made threats towards staff. The student's parent was notified. The school is managing the matter. Support is in place for impacted staff. The media unit will be notified. Director, Educational Leadership has been notified.",1,On workplace grounds
S-2021-196170,18/11/2021 15:27,Term 4,Violence,Metropolitan South and West,Cowpasture,Indecent Assault,,,"An executive staff member reports welfare concerns for a student following an allegation of ##### assault by another student off school grounds. Police will be contacted. Parents will be notified. Supports will be implemented for the impacted student. #### reporting will be followed. Director, Educational Leadership will be advised.",1,On workplace grounds
