Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2023-453143,5/04/2023 10:11,Term 1,Welfare,Regional North,Lake Macquarie North,Student Behaviour,,,An employee reports that a student physically impacted another student on school grounds. First aid was administered. Parents were notified. The student was collected from school. The student was conveyed to hospital and has received medical treatment. Executive staff will be notified.,1,On workplace grounds
S-2023-453302,5/04/2023 11:12,Term 1,Weapon,Regional North and West,Wambuul-Macquarie,Possession of a Weapon,,Threat / Intimidation / Offens. Conduct,Employee reports a student was in possession of a weapon and made threats on school grounds. The police were on-site and confiscated the weapon. The school is managing the matter. Executive staff are aware.,1,On workplace grounds
S-2023-453322,5/04/2023 11:19,Term 1,Weapon,Metropolitan South,Georges River,Possession of a Weapon,,,Executive staff reports a student brought a weapon to school grounds. No threat was made. Weapon was disposed by student and never been found. Police will be called. Parent was called. Supports are in place. Director is aware. School is managing at a local level.,1,On workplace grounds
S-2023-453344,5/04/2023 11:32,Term 1,Criminal Activity,Rural North,Peel,Bomb Threat/Suspicious Package,,,An Executive staff member reports the school received a #######  threat via the Police. Police attended. No injuries were sustained. Supports are in place. Parents and Executive staff are aware.,1,On workplace grounds
S-2023-453457,5/04/2023 12:33,Term 1,Violence,Metropolitan North,Mount Druitt,Assault,,,An employee reports multiple students were involved in a physical altercation on school grounds. First aid administered. Parents to be contacted. Police will be informed. Media unit will be notified. The school is managing the matter. Executive staff are aware.,1,On workplace grounds
S-2023-453473,5/04/2023 12:40,Term 1,Welfare,Metropolitan North,Hornsby,Problematic and Harmful Sexualised Behaviour,,,"An executive staff member reports that a student displayed problematic and harmful ##### behaviour on school grounds. Parents are aware. Police have been notified. ##### has been followed. Supports to be organised. Director, Educational Leadership has been notified.",1,On workplace grounds
S-2023-453578,5/04/2023 13:14,Term 1,Welfare,Metropolitan South,Bondi,Problematic and Harmful Sexualised Behaviour,,,"An executive staff member reports student concerns following an incident of problematic and harmful ##### behaviour on school grounds. Parents have been notified. ##### has been followed. Supports are in place. Director, Educational Leadership is aware. ####### ",1,On workplace grounds
S-2023-453676,5/04/2023 13:49,Term 1,Welfare,Rural South and West,Wagga Wagga,Problematic and Harmful Sexualised Behaviour,,,"An executive staff member reports student welfare concerns following an incident of problematic and harmful ##### behaviour on school grounds. Parents are aware. ##### has been followed. Supports are in place. Director, Educational Leadership is aware. ####### ",1,On workplace grounds
S-2023-453703,5/04/2023 13:57,Term 1,Violence,Connected Communities Team 3,Connected Communities Team 3,Assault,,Student Behaviour,"An Executive staff member reports a student in a #####  state has assaulted an employee on school grounds. Emergency services were called and have conveyed the student to hospital. Parents were notified and have attended the hospital. Supports are in place. Director, Educational Leadership is aware.",1,On workplace grounds
S-2023-453735,5/04/2023 14:12,Term 1,Violence,Rural North,Tweed Coast,Assault,,Self Harm,"An executive staff member reports a #####  student #######  and assaulted the staff member with a weapon on school grounds. First aid was not requested. The school was placed in lockdown and emergency services were called. The student was conveyed to hospital via ambulance. ##### will be completed and media unit will be notified. Supports will be provided and the Director, Educational Leadership will be notified.",1,On workplace grounds
