Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2022-061158,8/03/2022 6:15,Term 1,Emergency Situation,Regional North and West,Macleay Valley,Flood,,,"An Executive staff member reports the school has ceased operations due to a flood event affecting the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061160,8/03/2022 6:18,Term 1,Emergency Situation,Regional North and West,Macleay Valley,Flood,,,"An Executive staff member reports the school has ceased operations due to a flood event affecting the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061162,8/03/2022 6:20,Term 1,Emergency Situation,Regional North and West,Macleay Valley,Flood,,,"An Executive staff member reports the school is non-operational due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061163,8/03/2022 6:20,Term 1,Emergency Situation,Regional North and West,Macleay Valley,Flood,,,"An Executive staff member reports the school has ceased operations due to a flood event affecting the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061166,8/03/2022 6:22,Term 1,Emergency Situation,Regional North and West,Macleay Valley,Flood,,,"An Executive staff member reports the school has ceased operations due to a flood event affecting the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061167,8/03/2022 6:22,Term 1,Emergency Situation,Regional North and West,Macleay Valley,Flood,,,"An Executive staff member reports the school is non-operational due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061175,8/03/2022 6:50,Term 1,Emergency Situation,Regional South,Lake Illawarra North,Flood,,,"An Executive staff member reports the school is non-operational due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061177,8/03/2022 6:55,Term 1,Emergency Situation,Metropolitan South and West,Chipping Norton,Flood,,,"An Executive staff member reports the school has ceased operations due to a flood event affecting the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061179,8/03/2022 7:00,Term 1,Emergency Situation,Regional North and West,Upper Hunter,Flood,,,"An Executive staff member reports the school is non-operational due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061181,8/03/2022 7:06,Term 1,Emergency Situation,Regional South,South Coast,Flood,,,"An Executive staff member reports the school is non-operational due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061182,8/03/2022 7:07,Term 1,Emergency Situation,Regional South,Wollongong,Flood,,,"An Executive staff member reports the school has ceased operations due to a flood event affecting the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061185,8/03/2022 7:10,Term 1,Emergency Situation,Regional South,Macarthur,Flood,,,"An Executive staff member reports the school is operating with minimal staff onsite due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061200,8/03/2022 7:23,Term 1,Emergency Situation,Metropolitan North,Cambridge Park,Flood,,,An executive employee reports the school is operating under minimal supervision due to flooding in the area. Executive staff are aware.,1,On workplace grounds
S-2022-061204,8/03/2022 7:24,Term 1,Emergency Situation,Metropolitan South and West,Glenfield,Flood,,,An Executive staff member reports the school is non-operational due to flooding in the area. The school has ceased operation.,1,On workplace grounds
S-2022-061213,8/03/2022 7:27,Term 1,Emergency Situation,Metropolitan South and West,Glenfield,Flood,,,An Executive staff member reports the school is non-operational due to flooding in the area. The school has ceased operation.,1,On workplace grounds
S-2022-061226,8/03/2022 7:49,Term 1,Emergency Situation,Regional South,Lake Illawarra North,Flood,,,An Executive staff member reports the school is non-operational due to flooding in the area. The school has ceased operation.,1,On workplace grounds
S-2022-061244,8/03/2022 8:01,Term 1,Emergency Situation,Regional South,Lake Illawarra South,Flood,,,"An Executive staff member reports the school is operating with minimal staff onsite due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061250,8/03/2022 8:02,Term 1,Violence,Rural South and West,Narrandera,Assault,,,Executive staff member reports an incident on school grounds involving ##### students and an employee due to an #####. First aid administered. Parents have been notified. ##### guidelines followed. Police have been notified. Media unit notified. Supports to be put in place. Executive staff are aware.,1,On workplace grounds
S-2022-061249,8/03/2022 8:02,Term 1,Emergency Situation,Regional South,Goulburn,Flood,,,"An Executive reports the school is non operational due to the floods. School community and Director, Educational Leadership are aware.",1,On workplace grounds
S-2022-061253,8/03/2022 8:03,Term 1,Emergency Situation,Regional South,Lake Illawarra North,Flood,,,"An executive staff member reported that the school will be under minimal supervision due to flooding. No injuries were sustained to the students and staff members. Parents have been notified. As of yet, there is no damage to the school property. Supports are in place. School continues to manage the matter. Director, Educational Leadership was notified.",1,On workplace grounds
S-2022-061256,8/03/2022 8:04,Term 1,Emergency Situation,Metropolitan South and West,Penrith,Flood,,,"An executive staff member reports the school will be non operational due to flooding. Parents and staff have been informed. The Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061265,8/03/2022 8:09,Term 1,Emergency Situation,Regional South,Lake Illawarra South,Flood,,,"An employee reports that the school will be non operational due to flooding issues surrounding the school grounds. No students and staff were on site. Executive staff and Director, Educational Leadership were made aware.",1,On workplace grounds
S-2022-061268,8/03/2022 8:10,Term 1,Emergency Situation,Regional South,Camden,Flood,,,Executive staff reports school is operational but under minimal supervision today due to weather condition and flooding. Director is aware.,1,On workplace grounds
S-2022-061271,8/03/2022 8:11,Term 1,Emergency Situation,Regional South,Campbelltown,Flood,,,"An Executive reports the school will operate on minimal supervision due to the floods. School community and Director, Educational Leadership are aware.",1,On workplace grounds
S-2022-061283,8/03/2022 8:15,Term 1,Emergency Situation,Regional South,Camden,Flood,,,An executive staff member reports their school is 'Non-operational' today due severe weather conditions. No staff or students are on school property due to access. School damage is yet to be reported due to localised road closures. Emergency Management Plan activated. DEL is aware.,1,On workplace grounds
S-2022-061286,8/03/2022 8:16,Term 1,Emergency Situation,Regional South,Lake Illawarra North,Flood,,,"An Executive reports the school is non operational due to the floods. School community and Director, Educational Leadership are aware.",1,On workplace grounds
S-2022-061293,8/03/2022 8:19,Term 1,Emergency Situation,Regional South,Wollondilly,Flood,,,"An executive staff member reports the school is non operational due to high water levels on nearby roads, caused by flooding. No damage has been reported. Parents and staff have been notified. The Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061298,8/03/2022 8:20,Term 1,Emergency Situation,Regional South,Lake Illawarra North,Flood,,,"Executive staff report the Pre- school on the schools site is non-operational due to flood. School remains fully operational. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2022-061300,8/03/2022 8:21,Term 1,Emergency Situation,Rural North,Richmond,Flood,,,"An executive staff member has updated the school's operational status to minimal supervision. Staff members and parents have been notified. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061317,8/03/2022 8:24,Term 1,Emergency Situation,Regional North,Cessnock,Flood,,,"An Executive reports the school is non operational today due to the floods. School community and Director, Educational Leadership are aware.",1,On workplace grounds
S-2022-061336,8/03/2022 8:31,Term 1,Emergency Situation,Metropolitan South and West,Fairfield,Flood,,,"An executive staff member advised that the school will be non-operational from ##### due to flooding in the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061341,8/03/2022 8:33,Term 1,Emergency Situation,Regional South,Camden,Flood,,,"An executive staff member reports their school will have 'Minimal Supervision' ##### due to severe weather conditions. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061376,8/03/2022 8:40,Term 1,Weapon,Metropolitan South and West,Bungarribee,##### ,,,An Executive reports a student was seen in ##### off school grounds. Supports are in place. Police and Parents to be contacted. Executive staff are aware.,1,On workplace grounds
S-2022-061401,8/03/2022 8:45,Term 1,Emergency Situation,Regional South,Wollondilly,Flood,,,"An Executive staff member reports the school has ceased operations due to a flood event affecting the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061423,8/03/2022 8:51,Term 1,Emergency Situation,Regional South,Camden,Flood,,,"An Executive staff member reports the school is operating with minimal staff onsite due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061430,8/03/2022 8:54,Term 1,Emergency Situation,Regional South,Camden,Flood,,,"An Executive staff member reports the school is operating with minimal staff onsite due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061435,8/03/2022 8:56,Term 1,Emergency Situation,Regional South,Wollongong,Flood,,,"Executive staff member reports the school will be non-operational today, ##### due to a flood event affecting the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061442,8/03/2022 8:56,Term 1,Emergency Situation,Regional South,Camden,Flood,,,"An executive staff member advises the school will be non operational due to flooding. Parents and staff have been informed. The Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061461,8/03/2022 9:01,Term 1,Emergency Situation,Regional South,Camden,Flood,,,An Executive reports the school will operate on minimal supervision due to the floods. School community and Executive staff are aware.,1,On workplace grounds
S-2022-061490,8/03/2022 9:12,Term 1,Emergency Situation,Regional South,Camden,Flood,,,"Executive member of staff reports the school is under minimal supervision due to flooding in the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061492,8/03/2022 9:12,Term 1,Emergency Situation,Regional South,Macarthur,Flood,,,"School will be non operational ##### due to flooding in the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061519,8/03/2022 9:18,Term 1,Emergency Situation,Regional South,Camden,Flood,,,"An Executive staff member reports the school is operating with minimal staff onsite due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
