Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2020-313203,10/08/2020 16:05,Term 3,Welfare,Metropolitan South & South West,Chipping Norton,Attempted Suicide,,,"Executive staff member reports that a student attempted suicide on school grounds. No injuries were sustained. Family has been contacted and supports are in place. #### has been followed. Director, Educational Leadership will be informed.",1,On workplace grounds
S-2020-313258,10/08/2020 16:27,Term 3,Violence,Regional North and West,Macquarie,Assault,,,A student has sustained an injury due to assault by another student on school grounds. First aid was administered. Parents were informed. School has managed the incident. Incident may have been filmed. Executive was notified. Media unit will be informed.,1,On workplace grounds
S-2020-313377,10/08/2020 17:29,Term 3,Violence,Connected Communities,Connected Communities Team 1,Assault,,,"Executive staff reports a physical altercation between a number of students on school grounds. Students involved then absconded. Police were notified. Carers have been advised. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2020-313409,11/08/2020 8:12,Term 3,Emergency Situation,Regional South,Shoalhaven,Flood,,,"Executive staff member reports that the school remains non-operational today due to flooding in the area. No staff or students on school grounds. Director, Educational Leadership is aware.",1,On workplace grounds
S-2020-313511,11/08/2020 9:08,Term 3,Emergency Situation,Metropolitan South,Canterbury,Severe Storm,,,"Executive staff member reports a tree has fallen onto a school building overnight due to heavy rain and wind. Internal stakeholders have been informed. School remains operational. Contractors are working on rectifying the situation. Director, Educational Leadership is aware",1,On workplace grounds
S-2020-313986,11/08/2020 10:50,Term 3,Welfare,Regional North,Newcastle,Self Harm,,Attempted Suicide,"An executive reports that a student has self-harmed on school grounds and has disclosed of an attempted suicide off school grounds. First aid administered and an ambulance has been called. The student will be transported to hospital in the ambulance accompanied by an employee. Parents will be contacted. Supports are in place for the student and family. The Director, Educational Leadership is aware.",1,On workplace grounds
S-2020-314190,11/08/2020 11:34,Term 3,Emergency Situation,Regional South,Shoalhaven,Flood,,,"A staff member reports flooding on school grounds caused by heavy rain. School remains operational. Damage will be reported to asset management unit. Executive staff are aware. Director, Educational Leadership has been notified.",1,On workplace grounds
S-2020-314216,11/08/2020 11:42,Term 3,Welfare,Regional North and West,Macleay Valley,Student Welfare Concerns,Absconding / Missing Student,,"An executive staff member reported a student in a heightened state absconded school grounds. Parents have been called and police have been contacted. Supports are in place for staff and students. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2020-314264,11/08/2020 11:53,Term 3,Emergency Situation,Rural South and West,Eden-Monaro,Utility Failure,,,"Employee reports due to heavy rain, the school does not have access to consumable water. Internal stakeholders have been notified. School remains fully operational. Director, Educational Leadership is aware.",1,On workplace grounds
S-2020-314406,11/08/2020 12:32,Term 3,Violence,Metropolitan South,Botany Bay,Assault,,,A student has assaulted another student on school grounds using an object. Parents informed the school of the incident. The school is managing the incident. Support services for the affected student are available if required.,1,On workplace grounds
S-2020-314535,11/08/2020 13:14,Term 3,Emergency Situation,Metropolitan North,Ryde,Utility Failure,,,"An employee reports of a gas leak in a school building. Affected classrooms were evacuated and relocated. Internal stakeholders have been notified and the gas has been switched off. No injuries have been reported. School remains fully operational and is managing the matter. Director, Educational Leadership is aware.",1,On workplace grounds
S-2020-314705,11/08/2020 13:54,Term 3,Emergency Situation,Regional North and West,Macquarie,Utility Failure,,,"Executive staff member reports the school will be non-operational on XXXX due to a planned power outage. Internal stakeholders are aware. Director, Educational Leadership has been informed.",1,On workplace grounds
S-2020-314931,11/08/2020 14:37,Term 3,Violence,Regional South,Camden,Assault,,,Executive staff reports that a student was threatening other students with a weapon and also assaulted an employee on school grounds. The employee did not require first aid and no students were injured. Police and an ambulance were called to the school and the student was taken to hospital in the ambulance. A carer was notified and is xxxxx with the student on the way to hospital.,1,On workplace grounds
S-2020-315006,11/08/2020 14:52,Term 3,Violence,Rural South and West,Wagga Wagga,Assault,,,"An executive staff member reports a group of students were involved in a physical altercation on school grounds. First aid administered. Police were notified and parents were called to collect students. The incident was recorded by xxxxx students and xxxxx via a social media platform. Media unit will be notified. The school is managing the matter. Supports are in place. Director, Educational Leadership is aware.",1,On workplace grounds
S-2020-315245,11/08/2020 15:44,Term 3,Violence,Metropolitan North,Mount Druitt,Assault,,,"A student has xxxxx assaulted another student on school grounds. The student sustained injuries to the xxxxx. First aid was administered and executive staff were notified who contacted parents and an ambulance. The student was conveyed to hospital for further medical attention. Internal notifications have been made and Police will be contacted. The Director, Educational Leadership has been notified.",1,On workplace grounds
S-2020-315254,11/08/2020 15:48,Term 3,Welfare,Regional North and West,Coffs Harbour,Student Welfare Concerns,Absconding / Missing Student,,"Executive staff report that a student in a heightened state has absconded from school grounds. Parents were notified. Police are aware. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2020-315454,11/08/2020 16:10,Term 3,Violence,Rural North,Namoi,Assault,,,"Executive employee reports a student sustained an injury due to a physical altercation with another student on school grounds. First aid was applied. Ambulance were contacted and arrived. The student was conveyed to hospital accompanied by a xxxxx xxxxx. Parents were notified and met the student in hospital. School is managing the matter. The Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2020-315508,11/08/2020 16:24,Term 3,Welfare,Metropolitan South & South West,Fairfield,Attempted Suicide,,,"Executive staff member reports a student has attempted suicide on school grounds. No injuries were sustained and the student was conveyed to hospital by ambulance accompanied by a parent. Supports are in place. Director, Educational Leadership will be made aware",1,On workplace grounds
S-2020-315820,12/08/2020 8:26,Term 3,Violence,Regional South,Shoalhaven,Indecent Assault,,Problematic and Harmful #### ised Behaviour,An executive staff member reported a student made inappropriate physical contact with XXXX other students on school grounds. The matter was escalated to executive staff. Parents were notified. Supports are in place for the students. ,1,On workplace grounds
S-2020-315877,12/08/2020 8:47,Term 3,Violence,Metropolitan South & South West,Eastern Creek,Allegations Of Sexual  Assault,,,"An executive staff member reported a student disclosed, another student allegedly made inappropriate physical contact with them. The matter was escalated to executive staff. Parents were contacted. Supports are in place for the student. ",1,On workplace grounds
S-2020-316140,12/08/2020 9:57,Term 3,Violence,Regional North,Tuggerah Lakes,Assault,,Student Welfare Concerns,A staff member has reported that xxxxx students were involved in a physical altercation on school grounds. One student has then made threats of violence with a weapon towards the other student. The student has then absconded from school grounds. Police have been notified. Carers have been notified. Mandatory reporting is being followed. Support is in place. Executive staff are aware.,1,On workplace grounds
S-2020-316398,12/08/2020 10:53,Term 3,Violence,Metropolitan South,Georges River,Assault,,Student Welfare Concerns,"A student has heightened and xxxxx assaulted xxxxx employee before absconding school grounds. Executive staff contacted carers and Police and followed the student until xxxxx site over xxxxx xxxxx. Police are searching for student. Internal notifications have been made and the Director, Educational Leadership has been notified.",1,On workplace grounds
S-2020-316399,12/08/2020 10:53,Term 3,Welfare,Regional South,Camden,Attempted Suicide,,,A student has ingested substances off school grounds in an attempt to take their own life. Student has become unwell on school grounds. Parents and paramedics were notified. Paramedics conveyed the student to hospital. #### was followed. Support services are available.,1,On workplace grounds
S-2020-316538,12/08/2020 11:20,Term 3,Violence,Metropolitan South,Iron Cove,Assault,,Threat / Intimidation / Offens. Conduct,"A xxxxx xxxxx of the xxxxx along with a student have attended the school and verbally and xxxxx assaulted an employee and caused malicious damage to school property. Minor injuries were sustained and medical treatment will be sought. Executive staff contacted Police and the school was placed into lockout. Police are investigating. Employees have been impacted. xxxxx xxxxx has been taken and internal notifications have been made. The Director, Educational Leadership along with the xxxxx xxxxx and Media Unit have been notified. Employees have been offered supports.",1,On workplace grounds
S-2020-317044,12/08/2020 13:15,Term 3,Violence,Metropolitan South,Bondi,Allegations Of Sexual  Assault,,Suicidal Intentions,"Executive staff reports that a student has made allegations of being ####  assaulted by another student off school grounds. The other student has then expressed suicidal intentions on school grounds. #### has been followed. Parents are aware and have reported to police. Supports are in place. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2020-317068,12/08/2020 13:22,Term 3,Violence,Regional North and West,Hastings,Assault,,,"An executive staff member reports of an assault between xxxxx students on school grounds. First aid was administered. Parents and carers notified. The school is managing the matter. The Director, Educational Leadership is aware.",1,On workplace grounds
S-2020-317108,12/08/2020 13:35,Term 3,Welfare,Metropolitan North,Ryde,Self Harm,,Child Protection,"Executive staff member expresses welfare concerns for a student after they attempted to self harm on school grounds. No physical injuries sustained. Student then disclosed of incidents that have occurred off school grounds, involving family members. School has attempted to contact parents. #### will be followed. Supports will be arranged. Director, Educational Leadership will be informed.",1,On workplace grounds
S-2020-317192,12/08/2020 13:54,Term 3,Emergency Situation,Regional South,Camden,Flood,,,An staff member reports flooding to an area within the school. No impact to normal school operations. Asset Management Unit has been notified. Contractors have been on school grounds to rectify. School executive staff are aware.,1,On workplace grounds
S-2020-317367,12/08/2020 14:33,Term 3,Welfare,Metropolitan South & South West,Glenfield,Student Welfare Concerns,Absconding / Missing Student,,A student absconded from school grounds at the end of the school day. Police have been notified. Student's current location is currently unknown. Parents have been contacted. Executive staff are aware.,1,On workplace grounds
