Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2022-299506,14/10/2022 10:02,Term 4,Emergency Situation,Rural South and West,Hume,Flood,,,Executive staff member reports the school is non operational due to flooding in the area. Director Educational Leadership is aware.,1,On workplace grounds
S-2022-299617,14/10/2022 10:46,Term 4,Substances,Metropolitan South,Bondi,Supply of a Substance,None of Above,,"An executive employee reports welfare concerns for a student following an incident involving the #### #####. Police have been informed. ##### will be conducted. Supports are in place. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-299736,14/10/2022 11:27,Term 4,Violence,Metropolitan North,Mount Druitt,Assault,,,Executive staff member reports ##### unknown community members have entered school grounds then began intimidating students which resulted in a physical altercation. Police were called and located the offenders removing them from the school area. ##### student sustained an injury. First aid applied. Parents were called and students involved remained at school. Supports have been offered to staff and students. Media Unit have been contacted. Director Educational Leadership is aware.,1,On workplace grounds
S-2022-299778,14/10/2022 11:45,Term 4,Violence,Rural North,Western Plains,Assault,,,"An executive employee reports #### students were involed in a physical altercation on school grounds. No first aid administered. Supports in place. Parents notified. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-299816,14/10/2022 12:07,Term 4,Violence,Metropolitan South,Georges River,Assault,,Student Behaviour,"Employee reports that an employee has sustained an injury as a result of being physically assaulted on school grounds. Employee is fine to remain on school grounds. Students #####s have been notified. School is managing the matter. Police have been notified. Supports are in place. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-299849,14/10/2022 12:21,Term 4,Violence,Rural North,Armidale,Assault,,Cyber Bullying,"An Executive staff member reports an incident of assault by ##### students toward#####other student on school grounds. Parents have been notified. The injured student was conveyed by parent to hospital for further medical treatment. Supports are in place. Police have been notified. Media Unit have been notified. The school continues to manage the matter. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-299893,14/10/2022 12:40,Term 4,Weapon,Rural South and West,Orange,Possession of a weapon,,,"An executive staff member reported a student was in the possession of #### school grounds. No injuires were sustained. The #### was confiscated and secured in the safe place. Parents were notified and the student stayed on the school grounds. Police will be notified. Asset Management Unit was notified. Support is in place. School continues to manage the matter. Director, Educational Leadership was notified.",1,On workplace grounds
S-2022-300037,14/10/2022 13:38,Term 4,Welfare,Regional North,Brisbane Water,Self Harm,,,Executive staff member reports concerns due to a student #### on school grounds. First aid applied and parents called. Student was conveyed to hospital for further treatment via parent. Supports are in place. ##### has been followed. Director Educational Leadership is aware.,1,On workplace grounds
S-2022-300086,14/10/2022 13:54,Term 4,Violence,Regional North,Blue Mountains,Indecent Assault,,,"Executive staff member reports allegations have been made that a student was ##### assaulted other students on school grounds. The school is investigating. Police have been contacted. ##### has been followed. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-300089,14/10/2022 13:54,Term 4,Violence,Regional South,Yass,Assault,,,"An Executive reports a student assaulted another student and employee on school grounds. First aid was sought. Police were contacted. Supports are in place. Parents and Director, Educational Leadership are aware.",1,On workplace grounds
S-2022-300163,14/10/2022 14:19,Term 4,Welfare,Metropolitan South and West,Bungarribee,Self Harm,,,Executive staff has expressed concerns for a student's welfare following an incident of ##### school grounds. Police and ambulance attended onsite. Student was conveyed to hospital via ambulance. Parent was aware. School has followed the #####. School is managing at a local level.,1,On workplace grounds
S-2022-300216,14/10/2022 14:32,Term 4,Violence,Regional North,Brisbane Water,Assault,,,Staff member reports an assault involving a student off school grounds. Police to be notified. Media Unit to be notified. Parents to be notified. Executive staff are aware.,1,On workplace grounds
S-2022-300288,14/10/2022 14:53,Term 4,Welfare,Regional South,Campbelltown,Self Harm,,,Executive staff member reports concerns due to a student #### on school grounds. No first aid required. Ambulance and parents called. Student conveyed to hospital via paramedics. Supports are in place. ##### has been followed. Director Educational Leadership is aware.,1,On workplace grounds
S-2022-300290,14/10/2022 14:54,Term 4,Violence,Metropolitan South and West,Fairfield,Assault,,Threat / Intimidation / Offens. Conduct,An employee reports a verbal and physical altercation involving ##### on school grounds. No physical injuries sustained. Parents notified. Supports to be implemented for ####. School is managing the matter. Executive staff are aware.,1,On workplace grounds
S-2022-300341,14/10/2022 15:09,Term 4,Violence,Metropolitan South and West,Eastern Creek,Assault,,Student Behaviour,Staff member reports a student assaulting ####  and staff members on school grounds. No first aid required. Student suspended. Supports in place. Executive staff are aware.,1,On workplace grounds
S-2022-300483,14/10/2022 15:43,Term 4,Welfare,Regional North,Glenrock,Student Behaviour,,,An employee reports a student in a ##### state demonstrating aggressive behaviour on school grounds. No physical injuries sustained. Parents have been notified. Supports to be implemented. Executive staff are aware.,1,On workplace grounds
S-2022-300598,14/10/2022 16:08,Term 4,Violence,Regional North,Lake Macquarie West,Assault,,Student Welfare Concerns,"Executive employee reports #### students were involved in a physical assault that occurred on school grounds. First aid was applied. Concerns were raised as a student absconded from school and their whereabouts are currently unknown. Police and parents were notified. Supports will be put in place. The incident was filmed. Media unit and The Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-300619,14/10/2022 16:13,Term 4,Violence,Metropolitan South and West,Port Hacking,Indecent Assault,,,"An Executive staff member reports wellbeing concerns for a student following the disclosure of alleged ##### assault on school grounds. ##### will be followed. Executive staff are aware. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-300624,14/10/2022 16:15,Term 4,Violence,Metropolitan North,The Forest,Allegations Of Sexual Assault,,,Executive staff reporting an alleged ##### assault involving ##### students on school grounds. Police will be contacted. ##### will be followed and school are managing the matter. Supports are in place.,1,On workplace grounds
S-2022-300709,14/10/2022 16:58,Term 4,Violence,Regional South,Wollondilly,Threat / Intimidation / Offens. Conduct,,,"Employee reports concerns following threats made on a #### that a#### will occur off school grounds involving #####. Police and parents were notified. School is managing the matter supports will be put in place. Media unit and The Director, Educational Leadership will be made aware",1,On workplace grounds
S-2022-300957,17/10/2022 10:02,Term 4,Emergency Situation,Regional South,Wollondilly,Utility Failure,,,Staff member reports of a utility failure on school grounds. External agency has been contacted to rectify the issue. School is managing the matter. Executive staff are aware.,1,On workplace grounds
S-2022-300963,17/10/2022 10:03,Term 4,Welfare,Regional North and West,Mid Coast Valleys,Student Behaviour,,Exposure to Chemicals,A staff member reports a student was exposed to #### as a result of another student's behaviour on school grounds. First aid administered. Parents were notified and conveyed the student to hospital. Executive staff are aware.,1,On workplace grounds
S-2022-301231,17/10/2022 12:17,Term 4,Emergency Situation,Metropolitan South,Girraween,Police Operation,,,Executive staff member reports concerns following a #### in a property next to school grounds. School had no prior notice. No one was hurt. Director Educational Leadership was made aware.,1,On workplace grounds
S-2022-301250,17/10/2022 12:26,Term 4,Violence,Regional North,Lake Macquarie West,Assault,,,An executive staff member reports ##### students were involved in a physical altercation on school grounds. No first aid required. Parents were notified. The incident was filmed and media unit will be informed. School continue to manage.,1,On workplace grounds
S-2022-301292,17/10/2022 12:43,Term 4,Welfare,Metropolitan South and West,Penrith,Self Harm,,,A staff member reported a student was in the possession of #### and displayed #### behaviour on school grounds. First aid was administered. The ambulance was called and attended the school site. The student was conveyed to the hospital via ambulance. Parents were notified. ##### will be followed. Support is in place. An executive staff member was notified.,1,On workplace grounds
S-2022-301333,17/10/2022 13:15,Term 4,Welfare,Rural South and West,West Wyalong,Attempted Suicide,,Staff Welfare Concerns,"Executive staff report of workplace concerns regarding a students behaviour on and off school grounds. Supports are in place for student and staff involved. Director, Educational Leadership has been informed.",1,On workplace grounds
S-2022-301371,17/10/2022 13:42,Term 4,Violence,Metropolitan North,Cambridge Park,Assault,,Student Behaviour,An Employee reports of a student assaulting another student on school grounds. Ambulance and Police were called. Parents were notified. The school is managing the matter Executives are aware.,1,On workplace grounds
S-2022-301380,17/10/2022 13:47,Term 4,Violence,Regional South,Wollondilly,Assault,,Student Welfare Concerns,Executive staff member reports ##### students were involved in a physical altercation on school grounds.#####student sustained an injury. First aid applied and parents called. Parents conveyed student to hospital and was discharged the same day. ##### will be followed. Director Educational Leadership will be notified.,1,On workplace grounds
S-2022-301474,17/10/2022 14:35,Term 4,Violence,Metropolitan South and West,Fairfield,Threat / Intimidation / Offens. Conduct,,,"An executive employee reports a member of the community displayed ##### off school grounds. No injuries sustained. Supports in place. Parents notified. Police to be contacted. Director, Educational Leadership to be notified.",1,On workplace grounds
S-2022-301484,17/10/2022 14:37,Term 4,Violence,Connected Communities,Connected Communities Team 1,Assault,,,"An executive staff member reports a ##### sustaining an injury following an assault by #### on school grounds. First aid administered. Parents to be notified. Media unit have been informed. The school is managing the matter. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-301502,17/10/2022 14:46,Term 4,Violence,Regional North,Glenrock,Assault,,,Executive staff member reports a student in a ##### staff has #### and threatened staff on school grounds. Parents and police were called. Ambulance also attended. Supports are in place. No injuries. Student conveyed home via a family member. ##### to follow. Director Educational Leadership will be advised.,1,On workplace grounds
